,0,1,2,3,4,5,6,7
0,0,0,0,0,Las,DET,9845755628983179954,15902
1,Companies,NOUN,6335807596707871007,15902,empresas,NOUN,1729123727545789446,15902
2,are,AUX,5012629990875267006,15902,están,AUX,9329291831938041508,15902
3,losing,VERB,8262243250093128877,15902,perdiendo,VERB,12555354842839885579,15902
4,0,0,0,0,el,DET,11488171005156075516,15902
5,control,NOUN,572204754761179701,15902,control,NOUN,572204754761179701,15902
6,.,PUNCT,12646065887601541794,15902,.,PUNCT,12646065887601541794,15902
7,0,0,0,0,Lo,DET,3892584616005055440,19062
8,What,PRON,5931147113347055926,19062,que,PRON,11474801393294414462,19062
9,happens,VERB,3853570915800888289,19062,sucede,VERB,11983801784852679058,19062
10,on,ADP,5640369432778651323,19062,en,ADP,14626626061804382878,19062
11,Street,PROPN,11849903144683346075,19062,Wall,PROPN,8806908179280924345,19062
12,Wall,PROPN,8806908179280924345,19062,Street,PROPN,11849903144683346075,19062
13,no,ADV,13055779130471031426,20667,ya,ADV,7831648150548777939,20667
14,longer,ADV,2041435544530518504,20667,no,ADV,13055779130471031426,20667
15,0,0,0,0,se,PRON,9839690450034771972,20667
16,stays,VERB,17976244651629324549,20667,queda,VERB,16302419879000617981,20667
17,on,ADP,5640369432778651323,20667,en,ADP,14626626061804382878,20667
18,Street,PROPN,11849903144683346075,20667,Wall,PROPN,8806908179280924345,20667
19,Wall,PROPN,8806908179280924345,20667,Street,PROPN,11849903144683346075,20667
20,.,PUNCT,12646065887601541794,20667,.,PUNCT,12646065887601541794,20667
21,0,0,0,0,Lo,DET,3892584616005055440,22998
22,What,PRON,5931147113347055926,22998,que,PRON,11474801393294414462,22998
23,happens,VERB,3853570915800888289,22998,pasa,VERB,10594573967867045893,22998
24,in,ADP,3002984154512732771,22998,en,ADP,14626626061804382878,22998
25,up,ADP,2199259611705938403,22998,Las,DET,9845755628983179954,22998
26,Vegas,PROPN,10874122429451430046,22998,Vegas,PROPN,10874122429451430046,22998
27,ends,VERB,9504871355430204756,22998,termina,VERB,14477897350578431892,22998
28,on,ADP,5640369432778651323,22998,en,ADP,14626626061804382878,22998
29,YouTube,PROPN,929290428523438385,22998,YouTube,PROPN,929290428523438385,22998
30,(,PUNCT,12638816674900267446,22998,.,PUNCT,12646065887601541794,22998
31,.,PUNCT,12646065887601541794,22998,(,PUNCT,12638816674900267446,22998
32,Laughter,NOUN,9911806888783028371,22998,Risas,PROPN,1052418954792767806,22998
33,),PUNCT,3842344029291005339,22998,),PUNCT,3842344029291005339,22998
34,0,0,0,0,Los,DET,8281310487209232694,26884
35,teams,NOUN,3829082879407885793,26884,equipos,NOUN,8769577181546747863,26884
36,0,0,0,0,directivos,ADJ,9041197679013577960,26884
37,0,0,0,0,se,PRON,9839690450034771972,26884
38,seem,VERB,15203660437495798636,26884,distancian,VERB,8893055747399123820,26884
39,0,0,0,0,cada,DET,9828466699353315767,26884
40,Management,NOUN,11401798372640567787,26884,vez,NOUN,8246815288216585998,26884
41,increasingly,ADV,2326915202511957355,26884,más,ADV,13805553149795463782,26884
42,disconnected,VERB,13386518241251070755,33676,0,0,0,0
43,from,ADP,7831658034963690409,33676,de,ADP,11144093025662894627,33676
44,their,DET,4244585616942201722,33676,su,DET,14248009254309298022,33676
45,staff,NOUN,850430561872953815,33676,personal,NOUN,861244163374911113,33676
46,.,PUNCT,12646065887601541794,33676,(,PUNCT,12638816674900267446,33676
47,(,PUNCT,12638816674900267446,33676,.,PUNCT,12646065887601541794,33676
48,Laughter,NOUN,9911806888783028371,33676,Risas,PROPN,1052418954792767806,33676
49,),PUNCT,3842344029291005339,33676,),PUNCT,3842344029291005339,33676
50,A,DET,14862748245026736845,36700,Una,DET,8368038198201676205,36700
51,survey,NOUN,1906076775589131272,36700,encuesta,NOUN,18004911429602197390,36700
52,recent,ADJ,14101204033091332526,36700,reciente,ADJ,12462685883451098389,36700
53,said,VERB,17573686707662795042,36700,encontró,VERB,11900460521884683972,36700
54,that,SCONJ,4380130941430378203,36700,que,SCONJ,11474801393294414462,36700
55,0,0,0,0,el,DET,11488171005156075516,36700
56,27,NUM,4471406735050472655,36700,27,NUM,4471406735050472655,36700
57,percent,NOUN,10567149558781529811,36700,%,SYM,16590897233515608007,36700
58,of,ADP,886050111519832510,36700,de,ADP,11144093025662894627,36700
59,0,0,0,0,los,DET,7307884290799599686,36700
60,bosses,NOUN,6009952864778708022,36700,ejecutivos,NOUN,1223695759883726977,36700
61,believe,VERB,7936246238499659209,36700,cree,VERB,16665973061186745001,36700
62,0,0,0,0,que,SCONJ,11474801393294414462,36700
63,their,DET,4244585616942201722,40225,su,DET,14248009254309298022,40225
64,employees,NOUN,10778978370903211805,40225,empresa,NOUN,11010082313531436383,40225
65,are,AUX,5012629990875267006,40225,es,AUX,10343076919720641053,40225
66,inspired,VERB,12140858817027957279,40225,una,DET,1019041181156623609,40225
67,0,0,0,0,inspiración,NOUN,3451991025473697516,40225
68,by,ADP,16764210730586636600,40225,para,ADP,17491956544424926374,40225
69,their,DET,4244585616942201722,40225,los,DET,7307884290799599686,40225
70,firm,NOUN,6029102025323371512,40225,empleados,NOUN,16363470059868049462,40225
71,.,PUNCT,12646065887601541794,40225,.,PUNCT,12646065887601541794,40225
72,However,ADV,11935558616188258213,42869,Sin,ADP,16989565700622806292,42869
73,survey,NOUN,1906076775589131272,42869,embargo,NOUN,18189741886919438293,42869
74,",",PUNCT,2593208677638477497,42869,",",PUNCT,2593208677638477497,42869
75,in,ADP,3002984154512732771,42869,en,ADP,14626626061804382878,42869
76,same,ADJ,7488871353255107396,42869,la,DET,6804705863737483857,42869
77,the,DET,7425985699627899538,42869,misma,DET,6359451746338806667,42869
78,percent,NOUN,10567149558781529811,42869,encuesta,NOUN,18004911429602197390,42869
79,",",PUNCT,2593208677638477497,42869,",",PUNCT,2593208677638477497,42869
80,only,ADV,13398675276606405380,42869,solo,ADV,3505255310390259426,42869
81,0,0,0,0,el,DET,11488171005156075516,42869
82,four,NUM,13283271314760746512,42869,4,NUM,16743743820210141046,42869
83,0,0,0,0,%,SYM,16590897233515608007,42869
84,of,ADP,886050111519832510,45016,de,ADP,11144093025662894627,45016
85,agreed,VERB,2543565934139476858,45016,los,DET,7307884290799599686,45016
86,employees,NOUN,10778978370903211805,45016,empleados,NOUN,16363470059868049462,45016
87,0,0,0,0,está,AUX,4858725201161983290,45016
88,0,0,0,0,de,ADP,11144093025662894627,45016
89,0,0,0,0,acuerdo,NOUN,11791469020735905910,45016
90,0,0,0,0,con,ADP,6945313634251781056,45016
91,0,0,0,0,eso,PRON,12716495710533357957,45016
92,.,PUNCT,12646065887601541794,45016,.,PUNCT,12646065887601541794,45016
93,0,0,0,0,Las,DET,9845755628983179954,47459
94,Companies,NOUN,6335807596707871007,47459,empresas,NOUN,1729123727545789446,47459
95,are,AUX,5012629990875267006,47459,están,AUX,9329291831938041508,47459
96,losing,VERB,8262243250093128877,47459,perdiendo,VERB,12555354842839885579,47459
97,0,0,0,0,el,DET,11488171005156075516,47459
98,control,NOUN,572204754761179701,47459,control,NOUN,572204754761179701,47459
99,of,ADP,886050111519832510,49509,de,ADP,11144093025662894627,49509
100,their,DET,4244585616942201722,49509,sus,DET,11087495102510657763,49509
101,customers,NOUN,7368681034670656470,49509,clientes,NOUN,7341890059679554919,49509
102,and,CCONJ,2283656566040971221,49509,y,CONJ,9409450202036847209,49509
103,their,DET,4244585616942201722,49509,sus,DET,11087495102510657763,49509
104,employees,NOUN,10778978370903211805,49509,empleados,NOUN,16363470059868049462,49509
105,.,PUNCT,12646065887601541794,49509,.,PUNCT,12646065887601541794,49509
106,But,CCONJ,18004243461113809161,53151,Pero,CONJ,3012608552889114327,53151
107,are,AUX,5012629990875267006,53151,¿,PUNCT,3095673970880011110,53151
108,they,PRON,16875582379069451158,53151,eso,PRON,12716495710533357957,53151
109,0,0,0,0,sucede,VERB,11983801784852679058,53151
110,really,ADV,14653600329166397554,53151,realmente,ADV,13453105967711789301,53151
111,?,PUNCT,8205403955989537350,53151,?,PUNCT,8205403955989537350,53151
112,I,PRON,4690420944186131903,55401,0,0,0,0
113,'m,AUX,8504683628951808721,55401,Soy,AUX,633139548010732535,55401
114,a,DET,11901859001352538922,55401,en,ADP,14626626061804382878,55401
