,0,1,2,3,4,5,6,7
0,Chris,PROPN,9844691959392486895,12617,Chris,VERB,9844691959392486895,12817
1,Anderson,PROPN,11742044099050732912,12617,Anderson,PROPN,11742044099050732912,12817
2,:,PUNCT,11532473245541075862,12617,:,PUNCT,11532473245541075862,12817
3,Tú,PRON,3036129635023015187,12617,Vous,PRON,4939484282041169227,12817
4,eras,AUX,1365482634456840016,12617,étiez,VERB,14089547624439021673,12817
5,un,DET,12188161997964598936,12617,un,DET,12188161997964598936,12817
6,así,ADV,13388538489347049961,12617,genre,NOUN,820755313826589982,12817
7,como,SCONJ,3817173063683202752,12617,de,ADP,11144093025662894627,12817
8,fenómeno,NOUN,2623919855711220242,12617,génie,NOUN,9873378519453607684,12817
9,matemático,ADJ,9944263262293876599,12617,mathématique,ADJ,4526471191000741163,12817
10,.,PUNCT,12646065887601541794,12617,.,PUNCT,12646065887601541794,12817
11,muy,ADV,16868253375141016776,15575,Très,ADV,11435868010399938658,15675
12,joven,ADJ,17461213738928634521,15575,jeune,ADJ,8387982899658367368,15675
13,De,ADP,9709023768673339208,15575,",",PUNCT,2593208677638477497,15675
14,algo,PRON,16528986040643271495,12617,vous,PRON,6151699640482831038,15675
15,ya,ADV,7831648150548777939,15575,avez,AUX,6678347032397671878,15675
16,impartías,VERB,8641299419441991131,15575,enseigné,VERB,5470142306910673773,15675
17,en,ADP,14626626061804382878,15575,à,ADP,1840659177240090782,15675
18,Harvard,PROPN,3707118590772505729,15575,Harvard,PROPN,3707118590772505729,15675
19,clases,NOUN,4721225565620710672,15575,et,CCONJ,13620178847145827813,15675
20,y,CONJ,9409450202036847209,15575,au,PROPN,11216685815786043991,15675
21,en,ADP,14626626061804382878,15575,MIT,PROPN,14376736078981358651,15675
22,.,PUNCT,12646065887601541794,15575,.,PUNCT,12646065887601541794,15675
23,Y,CONJ,16961793518281001049,19009,Puis,CCONJ,10921731869785368210,18763
24,el,DET,11488171005156075516,15575,la,DET,6804705863737483857,18763
25,MIT,PROPN,14376736078981358651,15575,NSA,PROPN,3041357725696152255,18763
26,luego,ADV,4526122816444084130,19009,a,AUX,11901859001352538922,18763
27,llegó,VERB,16205324746969888326,19009,fait,VERB,303196683033024630,18763
28,llamarte,NOUN,7091448191188773310,19009,appel,NOUN,7435916386878511571,18763
29,a,ADP,11901859001352538922,19009,à,ADP,1840659177240090782,18763
30,NSA,PROPN,3041357725696152255,19009,vous,PRON,6151699640482831038,18763
31,.,PUNCT,12646065887601541794,19009,.,PUNCT,12646065887601541794,18763
32,Qué,PRON,15959444434087193889,21464,C',PRON,13529430013742482571,21464
33,¿,PUNCT,3095673970880011110,21464,était,AUX,9706033412567555684,21464
34,pasó,VERB,3010544243581282156,21464,à,ADP,1840659177240090782,21464
35,la,DET,6804705863737483857,19009,quel,DET,7522534266403931311,21464
36,Jim,PROPN,9022286223118643983,22957,sujet,NOUN,16509512374981535802,21464
37,?,PUNCT,8205403955989537350,21464,?,PUNCT,8205403955989537350,21464
38,Simons,PROPN,17617417890362914752,22957,Jim,NOUN,9022286223118643983,23207
39,:,PUNCT,11532473245541075862,22957,Simons,NOUN,17617417890362914752,23207
40,",",PUNCT,2593208677638477497,22957,:,PUNCT,11532473245541075862,23207
41,Bueno,INTJ,10671597549141307999,22957,Eh,INTJ,11973742372338630927,23207
42,no,ADV,13055779130471031426,27154,bien,ADV,8265441118321635764,23207
43,la,DET,6804705863737483857,22957,la,DET,6804705863737483857,23207
44,NSA,PROPN,3041357725696152255,22957,NSA,PROPN,3041357725696152255,23207
45,",",PUNCT,2593208677638477497,22957,--,PUNCT,10501404726543969396,23207
46,Agencia,PROPN,10946838316426619663,22957,c',PRON,3614287697118523228,23207
47,de,ADP,11144093025662894627,22957,est,AUX,14619786160612475726,23207
48,la,DET,6804705863737483857,22957,l',DET,11055277117081255759,23207
49,Seguridad,PROPN,10140045364591366288,22957,Agence,PROPN,5183258868466040108,23207
50,Nacional,PROPN,8496802320742268887,22957,Nationale,ADJ,15208158930615816654,23207
51,a,ADP,11901859001352538922,27154,de,ADP,11144093025662894627,23207
52,vino,VERB,15507694718198388500,27154,Sécurité,NOUN,525478767107296706,23207
53,",",PUNCT,2593208677638477497,22957,--,PUNCT,10501404726543969396,23207
54,llamarme,PROPN,4160545113285028818,27154,ils,PRON,7400529878339724166,27154
55,precisamente,ADV,1225015429642164412,27154,n',ADV,6790753473526118935,27154
