,0,1,2,3,4,5,6,7
0,Joseph,PROPN,2589365213920855230,12699,Joseph,PROPN,2589365213920855230,12699
1,Keller,PROPN,6138172793094280672,12699,Keller,PROPN,6138172793094280672,12699
2,used,VERB,17544535479879614370,12699,solía,AUX,8525857613839423691,12699
3,to,PART,3791531372978436496,12699,por,ADP,18244196334509357400,12699
4,jog,VERB,14708015734410536110,12699,correr,VERB,10468945644875678183,12699
5,around,ADP,3194226484742107227,12699,de,ADP,11144093025662894627,12699
6,the,DET,7425985699627899538,12699,el,DET,11488171005156075516,12699
7,Stanford,PROPN,5695134016555941247,12699,Stanford,PROPN,5695134016555941247,12699
8,campus,NOUN,2092015393005026051,12699,campus,NOUN,2092015393005026051,12699
9,",",PUNCT,2593208677638477497,12699,",",PUNCT,2593208677638477497,12699
10,and,CCONJ,2283656566040971221,16795,y,CONJ,9409450202036847209,16795
11,he,PRON,1655312771067108281,16795,que,PRON,11474801393294414462,16795
12,was,AUX,9921686513378912864,16795,era,AUX,7478797442728669872,16795
13,struck,VERB,1683169861432029867,16795,golpeado,VERB,9566321154786492323,16795
14,by,ADP,16764210730586636600,16795,por,ADP,18244196334509357400,16795
15,all,DET,13409319323822384369,16795,las,DET,6526950402091386798,16795
16,the,DET,7425985699627899538,16795,todas,DET,16541400954320993806,16795
17,women,NOUN,5415290552571890316,16795,mujeres,NOUN,6031852908672387504,16795
18,jogging,VERB,11664412439050901249,16795,corrían,VERB,15822349683204579776,16795
19,there,ADV,2112642640949226496,16795,allí,ADV,17964402279426095661,16795
20,as,ADV,7437575085468336610,16795,también,ADV,18236539777431520510,16795
21,well,ADV,4525988469032889948,16795,0,0,0,0
22,.,PUNCT,12646065887601541794,16795,.,PUNCT,12646065887601541794,16795
23,Why,ADV,3341772144230116515,21536,¿,PUNCT,3095673970880011110,21536
24,did,AUX,13583488448875926965,21536,Por,ADP,623830814368950614,21536
25,swing,VERB,7716073739624997187,21536,qué,PRON,2438889091638947136,21536
26,their,DET,4244585616942201722,21536,sus,DET,11087495102510657763,21536
27,ponytails,NOUN,31091694218342579,21536,colas,NOUN,2449397042671500140,21536
28,from,ADP,7831658034963690409,21536,de,ADP,11144093025662894627,21536
29,side,NOUN,8664790716774201746,21536,caballo,NOUN,14726458938801548421,21536
30,side,VERB,8664790716774201746,21536,oscilaban,VERB,14553568034267887431,21536
31,to,PART,3791531372978436496,21536,de,ADP,11144093025662894627,21536
32,that,DET,4380130941430378203,21536,un,DET,12188161997964598936,21536
33,like,SCONJ,18194338103975822726,21536,lado,NOUN,11663777537566647114,21536
34,0,0,0,0,a,ADP,11901859001352538922,21536
35,0,0,0,0,otro,PRON,2936243016579165257,21536
36,0,0,0,0,de,ADP,11144093025662894627,21536
37,0,0,0,0,esa,DET,12150002208949237779,21536
38,0,0,0,0,manera,NOUN,498987833452431579,21536
39,?,PUNCT,8205403955989537350,21536,?,PUNCT,8205403955989537350,21536
40,Being,AUX,14664260671543633396,25687,era,AUX,7478797442728669872,25687
41,a,DET,11901859001352538922,25687,Como,SCONJ,4970798220701330131,25687
42,mathematician,NOUN,9980659278633429932,25687,matemático,ADJ,9944263262293876599,25687
43,",",PUNCT,2593208677638477497,25687,",",PUNCT,2593208677638477497,25687
44,he,PRON,1655312771067108281,25687,se,PRON,9839690450034771972,25687
45,set,VERB,11268780503345276587,25687,dispuso,VERB,12853612277971790000,25687
46,out,ADP,1696981056005371314,25687,a,ADP,11901859001352538922,25687
47,to,PART,3791531372978436496,25687,por,ADP,18244196334509357400,25687
48,understand,VERB,2256871070683278179,25687,entender,VERB,11362520943434929139,25687
49,why,ADV,16315412628806490806,25687,qué,PRON,2438889091638947136,25687
50,.,PUNCT,12646065887601541794,25687,.,PUNCT,12646065887601541794,25687
51,(,PUNCT,12638816674900267446,28849,(,PUNCT,12638816674900267446,28849
52,Laughter,PROPN,9911806888783028371,28849,Risas,PROPN,1052418954792767806,28849
53,),PUNCT,3842344029291005339,28849,),PUNCT,3842344029291005339,28849
54,Professor,PROPN,12028661839198017008,30024,El,DET,2536664749893722438,29764
55,Keller,PROPN,6138172793094280672,30024,Keller,PROPN,6138172793094280672,29764
56,was,AUX,9921686513378912864,30024,profesor,NOUN,7870254519970093974,29764
57,curious,ADJ,459690333339426324,30024,tenía,VERB,9004033731572856802,29764
58,about,ADP,942632335873952620,30024,por,ADP,18244196334509357400,29764
